time/iterations,time/fps,train/value_loss,rollout/ep_len_mean,train/policy_loss,train/explained_variance,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/n_updates,train/entropy_loss,time/time_elapsed
100,966,7.605381965637207,30.066666666666666,1.4485714435577393,0.39145541191101074,30.066666666666666,0.0007,500,99,-0.6727313995361328,0
200,1142,7.496287822723389,35.2962962962963,0.9446752667427063,-0.7240885496139526,35.2962962962963,0.0007,1000,199,-0.6328901648521423,0
300,1219,6.984632968902588,38.921052631578945,1.5252773761749268,-0.18644118309020996,38.921052631578945,0.0007,1500,299,-0.6140978336334229,1
400,1255,5.594174385070801,39.816326530612244,1.1793192625045776,-0.0217512845993042,39.816326530612244,0.0007,2000,399,-0.659083902835846,1
500,1266,5.324826717376709,40.21311475409836,1.0929768085479736,-0.0008003711700439453,40.21311475409836,0.0007,2500,499,-0.6433119177818298,1
600,1270,4.558434009552002,42.642857142857146,1.319266676902771,-0.0013730525970458984,42.642857142857146,0.0007,3000,599,-0.5562114715576172,2
700,1269,3.935859441757202,43.80769230769231,1.2908453941345215,0.12147915363311768,43.80769230769231,0.0007,3500,699,-0.5175473690032959,2
800,1261,3.5813205242156982,46.602409638554214,0.888630211353302,-0.005623340606689453,46.602409638554214,0.0007,4000,799,-0.6421880125999451,3
900,1267,3.089892625808716,51.01136363636363,0.8429376482963562,-0.0004621744155883789,51.01136363636363,0.0007,4500,899,-0.6282151341438293,3
1000,1277,2.657381534576416,52.083333333333336,1.1783374547958374,-0.0006074905395507812,52.083333333333336,0.0007,5000,999,-0.49144354462623596,3
1100,1276,2.2368836402893066,53.39,1.3891031742095947,0.0004519224166870117,53.39,0.0007,5500,1099,-0.3974076211452484,4
1200,1285,1.8385361433029175,55.91,0.6770022511482239,0.00013178586959838867,55.91,0.0007,6000,1199,-0.6533699035644531,4
1300,1298,1.4919683933258057,62.84,0.8303343057632446,0.0001170039176940918,62.84,0.0007,6500,1299,-0.5826112627983093,5
1400,1297,1.176269769668579,65.69,0.48416072130203247,8.52346420288086e-05,65.69,0.0007,7000,1399,-0.6437260508537292,5
1500,1300,0.8921256065368652,69.41,0.6000946164131165,0.00024318695068359375,69.41,0.0007,7500,1499,-0.588122546672821,5
1600,1307,0.6475576758384705,73.14,0.41124850511550903,3.159046173095703e-05,73.14,0.0007,8000,1599,-0.5549198985099792,6
1700,1312,0.4382660388946533,77.05,0.29746779799461365,-6.186962127685547e-05,77.05,0.0007,8500,1699,-0.49581804871559143,6
1800,1314,0.27287790179252625,81.58,0.309665709733963,1.9729137420654297e-05,81.58,0.0007,9000,1799,-0.37384581565856934,6
1900,1320,3019.462646484375,85.64,-24.104961395263672,-1.6689300537109375e-06,85.64,0.0007,9500,1899,-0.5799372792243958,7
2000,1324,1680.5244140625,89.07,-9.2542142868042,-1.6689300537109375e-06,89.07,0.0007,10000,1999,-0.501386284828186,7
