time/iterations,train/value_loss,train/policy_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/explained_variance,rollout/ep_len_mean,train/n_updates,time/fps
100,24.66250991821289,-3.5135903358459473,22.5,0.0007,1,500,-0.6907400488853455,0.2577332854270935,22.5,99,341
200,7.981464385986328,1.875083327293396,24.125,0.0007,1,1000,-0.6827160716056824,-0.004866123199462891,24.125,199,547
300,139.42984008789062,-4.65287446975708,27.12727272727273,0.0007,2,1500,-0.6830194592475891,0.026600778102874756,27.12727272727273,299,685
400,5.935793399810791,1.4299192428588867,27.068493150684933,0.0007,2,2000,-0.6910784840583801,0.007501184940338135,27.068493150684933,399,784
500,5.678287029266357,1.2220699787139893,27.363636363636363,0.0007,2,2500,-0.6818598508834839,-0.019830942153930664,27.363636363636363,499,859
600,5.074131488800049,1.362069845199585,28.86,0.0007,3,3000,-0.6882932782173157,0.001766979694366455,28.86,599,919
700,4.634978294372559,1.155739426612854,31.68,0.0007,3,3500,-0.6847122311592102,-0.01600182056427002,31.68,699,964
800,4.115769386291504,1.1319290399551392,33.79,0.0007,3,4000,-0.6086143255233765,-0.007008910179138184,33.79,799,1002
900,3.595911741256714,1.0499109029769897,37.13,0.0007,4,4500,-0.6793052554130554,-0.0012868642807006836,37.13,899,1034
1000,3.1074562072753906,1.2302805185317993,40.74,0.0007,4,5000,-0.5944420695304871,-0.00045037269592285156,40.74,999,1062
1100,2.6112427711486816,1.0348228216171265,42.75,0.0007,5,5500,-0.6111814379692078,0.0024358630180358887,42.75,1099,1085
1200,2.2436797618865967,0.9455887079238892,46.09,0.0007,5,6000,-0.637884795665741,-0.00019347667694091797,46.09,1199,1105
1300,1.8830245733261108,0.8156218528747559,48.76,0.0007,5,6500,-0.6682741045951843,9.298324584960938e-06,48.76,1299,1123
1400,1.54275381565094,0.6354687809944153,51.04,0.0007,6,7000,-0.6418072581291199,-0.00044858455657958984,51.04,1399,1138
1500,1.2209538221359253,0.5326806902885437,55.82,0.0007,6,7500,-0.6569632887840271,0.0001698136329650879,55.82,1499,1152
1600,0.9315937161445618,1.3930166959762573,60.12,0.0007,6,8000,-0.3638036549091339,-7.390975952148438e-05,60.12,1599,1165
1700,0.6858617663383484,0.48659101128578186,64.33,0.0007,7,8500,-0.6682340502738953,0.0001487135887145996,64.33,1699,1176
1800,0.4865286946296692,0.37883979082107544,68.21,0.0007,7,9000,-0.680943489074707,8.052587509155273e-05,68.21,1799,1187
1900,0.31770816445350647,0.32093626260757446,71.24,0.0007,7,9500,-0.6522697806358337,-0.0001811981201171875,71.24,1899,1195
2000,0.17949174344539642,0.24830245971679688,73.06,0.0007,8,10000,-0.5916482210159302,1.150369644165039e-05,73.06,1999,1204
