rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,rollout/exploration_rate,time/episodes,time/time_elapsed,time/fps
19.25,19.25,77,0.9634249999999999,4,0,30956
17.25,17.25,138,0.9344499999999999,8,0,32075
21.166666666666668,21.166666666666668,254,0.8793499999999996,12,0,33589
23.0625,23.0625,369,0.8247250000000004,16,0,34117
24.75,24.75,495,0.7648749999999995,20,0,34546
24.666666666666668,24.666666666666668,592,0.7188000000000003,24,0,34724
23.785714285714285,23.785714285714285,666,0.6836500000000001,28,0,34625
24.375,24.375,780,0.6294999999999997,32,0,34680
23.38888888888889,23.38888888888889,842,0.6000499999999998,36,0,34623
23.125,23.125,925,0.5606249999999999,40,0,34615
22.84090909090909,22.84090909090909,1005,0.5226249999999999,44,0,34605
22.875,22.875,1098,0.4784500000000005,48,0,34690
23.134615384615383,23.134615384615383,1203,0.4285749999999997,52,0,34763
23.267857142857142,23.267857142857142,1303,0.3810749999999996,56,0,34684
22.9,22.9,1374,0.34735000000000027,60,0,34550
23.0,23.0,1472,0.30080000000000007,64,0,34610
22.926470588235293,22.926470588235293,1559,0.25947500000000034,68,0,34564
22.569444444444443,22.569444444444443,1625,0.2281249999999997,72,0,34563
22.67105263157895,22.67105263157895,1723,0.1815750000000006,76,0,34588
22.85,22.85,1828,0.1316999999999997,80,0,34654
22.976190476190474,22.976190476190474,1930,0.08324999999999982,84,0,34688
23.045454545454547,23.045454545454547,2028,0.05,88,0,34721
22.869565217391305,22.869565217391305,2104,0.05,92,0,34716
22.708333333333332,22.708333333333332,2180,0.05,96,0,34722
22.93,22.93,2293,0.05,100,0,34773
22.79,22.79,2356,0.05,104,0,34766
23.11,23.11,2449,0.05,108,0,34793
22.78,22.78,2532,0.05,112,0,34817
22.35,22.35,2604,0.05,116,0,34824
22.03,22.03,2698,0.05,120,0,34828
21.95,21.95,2787,0.05,124,0,34808
21.93,21.93,2859,0.05,128,0,34794
22.27,22.27,3007,0.05,132,0,34862
22.21,22.21,3063,0.05,136,0,34839
22.37,22.37,3162,0.05,140,0,34837
22.53,22.53,3258,0.05,144,0,34847
22.68,22.68,3366,0.05,148,0,34871
22.86,22.86,3489,0.05,152,0,34907
22.45,22.45,3548,0.05,156,0,34901
22.51,22.51,3625,0.05,160,0,34908
22.0,22.0,3672,0.05,164,0,34895
22.11,22.11,3770,0.05,168,0,34907
22.23,22.23,3848,0.05,172,0,34911
22.68,22.68,3991,0.05,176,0,34953
22.69,22.69,4097,0.05,180,0,34967
22.61,22.61,4191,0.05,184,0,34972
23.17,23.17,4345,0.05,188,0,34994
23.18,23.18,4422,0.05,192,0,34994
23.07,23.07,4487,0.05,196,0,34976
22.45,22.45,4538,0.05,200,0,34965
22.89,22.89,4645,0.05,204,0,34967
23.07,23.07,4756,0.05,208,0,34989
23.18,23.18,4850,0.05,212,0,34982
23.28,23.28,4932,0.05,216,0,34979
23.11,23.11,5009,0.05,220,0,34974
22.84,22.84,5071,0.05,224,0,34969
23.02,23.02,5161,0.05,228,0,34980
22.36,22.36,5243,0.05,232,0,34984
23.03,23.03,5366,0.05,236,0,35008
22.73,22.73,5435,0.05,240,0,34995
22.65,22.65,5523,0.05,244,0,34978
22.82,22.82,5648,0.05,248,0,34982
22.39,22.39,5728,0.05,252,0,34987
22.56,22.56,5804,0.05,256,0,34980
22.55,22.55,5880,0.05,260,0,34978
23.28,23.28,6000,0.05,264,0,35000
22.94,22.94,6064,0.05,268,0,34993
23.3,23.3,6178,0.05,272,0,35004
23.54,23.54,6345,0.05,276,0,35034
23.33,23.33,6430,0.05,280,0,35033
23.04,23.04,6495,0.05,284,0,35031
22.12,22.12,6557,0.05,288,0,35030
22.51,22.51,6673,0.05,292,0,35045
22.66,22.66,6753,0.05,296,0,35048
22.96,22.96,6834,0.05,300,0,35049
22.71,22.71,6916,0.05,304,0,35053
22.41,22.41,6997,0.05,308,0,35057
21.97,21.97,7047,0.05,312,0,35048
21.94,21.94,7126,0.05,316,0,35052
21.88,21.88,7197,0.05,320,0,35043
22.32,22.32,7303,0.05,324,0,35049
22.5,22.5,7411,0.05,328,0,35054
22.88,22.88,7531,0.05,332,0,35060
22.8,22.8,7646,0.05,336,0,35074
22.74,22.74,7709,0.05,340,0,35071
