rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
0.90405,0,101,4,25.25,25.25,31990
0.8071500000000001,0,203,8,25.375,25.375,33008
0.7131,0,302,12,25.166666666666668,25.166666666666668,33407
0.57915,0,443,16,27.6875,27.6875,34023
0.4993500000000003,0,527,20,26.35,26.35,34053
0.4090999999999997,0,622,24,25.916666666666668,25.916666666666668,34101
0.32645000000000046,0,709,28,25.321428571428573,25.321428571428573,34112
0.25519999999999987,0,784,32,24.5,24.5,34111
0.2000999999999996,0,842,36,23.38888888888889,23.38888888888889,34033
0.11840000000000017,0,928,40,23.2,23.2,34035
0.06329999999999991,0,986,44,22.40909090909091,22.40909090909091,33969
0.05,0,1089,48,22.6875,22.6875,34025
0.05,0,1195,52,22.98076923076923,22.98076923076923,34107
0.05,0,1285,56,22.946428571428573,22.946428571428573,33980
0.05,0,1366,60,22.766666666666666,22.766666666666666,34002
0.05,0,1419,64,22.171875,22.171875,33989
0.05,0,1535,68,22.573529411764707,22.573529411764707,34101
0.05,0,1650,72,22.916666666666668,22.916666666666668,34153
0.05,0,1755,76,23.092105263157894,23.092105263157894,34173
0.05,0,1845,80,23.0625,23.0625,34172
0.05,0,1975,84,23.511904761904763,23.511904761904763,34240
0.05,0,2065,88,23.46590909090909,23.46590909090909,34242
0.05,0,2158,92,23.456521739130434,23.456521739130434,34270
0.05,0,2247,96,23.40625,23.40625,34285
0.05,0,2345,100,23.45,23.45,34301
0.05,0,2449,104,23.48,23.48,34328
0.05,0,2505,108,23.02,23.02,34316
0.05,0,2583,112,22.81,22.81,34328
0.05,0,2675,116,22.32,22.32,34354
0.05,0,2774,120,22.47,22.47,34351
0.05,0,2852,124,22.3,22.3,34363
0.05,0,2942,128,22.33,22.33,34367
0.05,0,3023,132,22.39,22.39,34363
0.05,0,3110,136,22.68,22.68,34374
0.05,0,3186,140,22.58,22.58,34373
0.05,0,3283,144,22.97,22.97,34397
0.05,0,3349,148,22.6,22.6,34368
0.05,0,3445,152,22.5,22.5,34378
0.05,0,3514,156,22.29,22.29,34375
0.05,0,3573,160,22.07,22.07,34360
0.05,0,3680,164,22.61,22.61,34393
0.05,0,3747,168,22.12,22.12,34384
0.05,0,3833,172,21.83,21.83,34383
0.05,0,3956,176,22.01,22.01,34424
0.05,0,4063,180,22.18,22.18,34445
0.05,0,4151,184,21.76,21.76,34449
0.05,0,4281,188,22.16,22.16,34470
0.05,0,4412,192,22.54,22.54,34508
0.05,0,4529,196,22.82,22.82,34529
0.05,0,4622,200,22.77,22.77,34541
0.05,0,4698,204,22.49,22.49,34541
0.05,0,4791,208,22.86,22.86,34548
0.05,0,4848,212,22.65,22.65,34530
0.05,0,5044,216,23.69,23.69,34595
0.05,0,5160,220,23.86,23.86,34614
0.05,0,5255,224,24.03,24.03,34625
0.05,0,5374,228,24.32,24.32,34636
0.05,0,5466,232,24.43,24.43,34639
0.05,0,5542,236,24.32,24.32,34630
0.05,0,5621,240,24.35,24.35,34629
0.05,0,5725,244,24.42,24.42,34637
0.05,0,5786,248,24.37,24.37,34626
0.05,0,5844,252,23.99,23.99,34608
0.05,0,5955,256,24.41,24.41,34626
0.05,0,6051,260,24.78,24.78,34635
0.05,0,6130,264,24.5,24.5,34633
0.05,0,6190,268,24.43,24.43,34623
0.05,0,6256,272,24.23,24.23,34615
0.05,0,6350,276,23.94,23.94,34618
0.05,0,6443,280,23.8,23.8,34624
0.05,0,6503,284,23.52,23.52,34613
0.05,0,6590,288,23.09,23.09,34612
0.05,0,6684,292,22.72,22.72,34615
0.05,0,6770,296,22.41,22.41,34604
0.05,0,6891,300,22.69,22.69,34611
0.05,0,6938,304,22.4,22.4,34594
0.05,0,7003,308,22.12,22.12,34588
0.05,0,7104,312,22.56,22.56,34590
0.05,0,7173,316,21.29,21.29,34571
0.05,0,7257,320,20.97,20.97,34573
0.05,0,7376,324,21.21,21.21,34591
0.05,0,7455,328,20.81,20.81,34588
0.05,0,7542,332,20.76,20.76,34592
0.05,0,7615,336,20.73,20.73,34587
0.05,0,7699,340,20.78,20.78,34589
0.05,0,7770,344,20.45,20.45,34587
0.05,0,7852,348,20.66,20.66,34587
0.05,0,7938,352,20.94,20.94,34585
0.05,0,8039,356,20.84,20.84,34590
0.05,0,8132,360,20.81,20.81,34593
0.05,0,8225,364,20.95,20.95,34594
0.05,0,8315,368,21.25,21.25,34599
0.05,0,8402,372,21.46,21.46,34602
0.05,0,8468,376,21.18,21.18,34594
0.05,0,8560,380,21.17,21.17,34591
0.05,0,8638,384,21.35,21.35,34592
0.05,0,8699,388,21.09,21.09,34585
0.05,0,8797,392,21.13,21.13,34588
0.05,0,8875,396,21.05,21.05,34586
0.05,0,8947,400,20.56,20.56,34581
0.05,0,9008,404,20.7,20.7,34574
0.05,0,9073,408,20.7,20.7,34568
0.05,0,9168,412,20.64,20.64,34576
0.05,0,9218,416,20.45,20.45,34560
0.05,0,9301,420,20.44,20.44,34548
0.05,0,9358,424,19.82,19.82,34536
0.05,0,9416,428,19.61,19.61,34525
0.05,0,9500,432,19.58,19.58,34524
0.05,0,9560,436,19.45,19.45,34518
0.05,0,9633,440,19.34,19.34,34517
0.05,0,9716,444,19.46,19.46,34516
0.05,0,9787,448,19.35,19.35,34513
0.05,0,9864,452,19.26,19.26,34512
0.05,0,9954,456,19.15,19.15,34502
