time/time_elapsed,train/value_loss,train/entropy_loss,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/n_updates,train/explained_variance,train/learning_rate,train/policy_loss,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss
0,11.686200141906738,-0.6418580412864685,981,34.714285714285715,500,100,99,-0.5393050909042358,0.0007,2.2520008087158203,34.714285714285715,,,,,,,
0,6.315444469451904,-0.5598434209823608,1145,39.0,1000,200,199,0.2733005881309509,0.0007,1.4233607053756714,39.0,,,,,,,
1,177.03277587890625,-0.6331769824028015,1217,36.390243902439025,1500,300,299,0.03478127717971802,0.0007,-6.756710052490234,36.390243902439025,,,,,,,
1,5.652713298797607,-0.49338093400001526,1257,34.56363636363636,2000,400,399,-0.0031850337982177734,0.0007,1.9455915689468384,34.56363636363636,,,,,,,
1,5.279725551605225,-0.5020952224731445,1269,36.20289855072464,2500,500,499,-0.040306806564331055,0.0007,1.5135728120803833,36.20289855072464,,,,,,,
2,779.96337890625,-0.5038332939147949,1287,36.0722891566265,3000,600,599,-0.0036737918853759766,0.0007,-16.636682510375977,36.0722891566265,,,,,,,
2,513.7521362304688,-0.5458692908287048,1301,37.148936170212764,3500,700,699,-0.0003285408020019531,0.0007,-27.67119789123535,37.148936170212764,,,,,,,
3,3.7173125743865967,-0.5059174299240112,1313,37.45,4000,800,799,0.027073979377746582,0.0007,1.0529917478561401,37.45,,,,,,,
3,3.2952613830566406,-0.49370160698890686,1321,39.78,4500,900,899,0.0757678747177124,0.0007,0.534804105758667,39.78,,,,,,,
3,2.8219196796417236,-0.4795413613319397,1322,40.87,5000,1000,999,-0.0010142326354980469,0.0007,1.0265923738479614,40.87,,,,,,,
0,2.814319133758545,-0.4365195333957672,28638,15.5,62,,1000,0.0009416341781616211,0.0007,1.1439875364303589,15.5,0.8822000000000003,4,,,,,
0,,,30633,17.75,142,,,,,,17.75,0.7302000000000002,8,,,,,
0,,,32300,22.333333333333332,268,,,,,,22.333333333333332,0.49080000000000024,12,,,,,
0,,,32571,21.5,344,,,,,,21.5,0.34640000000000026,16,,,,,
0,,,32763,20.45,409,,,,,,20.45,0.2229000000000002,20,,,,,
0,,,33005,20.291666666666668,487,,,,,,20.291666666666668,0.07469999999999977,24,,,,,
0,,,33046,19.321428571428573,541,,,,,,19.321428571428573,0.05,28,,,,,
0,,,33298,20.0625,642,,,,,,20.0625,0.05,32,,,,,
0,,,33368,19.916666666666668,717,,,,,,19.916666666666668,0.05,36,,,,,
0,,,33508,20.075,803,,,,,,20.075,0.05,40,,,,,
0,,,33713,21.09090909090909,928,,,,,,21.09090909090909,0.05,44,,,,,
0,,,33719,20.833333333333332,1000,,,,,,20.833333333333332,0.05,48,,,,,
0,,,33779,20.923076923076923,1088,,,,,,20.923076923076923,0.05,52,,,,,
0,,,33773,20.571428571428573,1152,,,,,,20.571428571428573,0.05,56,,,,,
0,,,33807,20.483333333333334,1229,,,,,,20.483333333333334,0.05,60,,,,,
0,,,33861,20.90625,1338,,,,,,20.90625,0.05,64,,,,,
0,,,33788,21.073529411764707,1433,,,,,,21.073529411764707,0.05,68,,,,,
0,,,33827,21.083333333333332,1518,,,,,,21.083333333333332,0.05,72,,,,,
0,,,33870,21.13157894736842,1606,,,,,,21.13157894736842,0.05,76,,,,,
0,,,33920,21.325,1706,,,,,,21.325,0.05,80,,,,,
0,,,33967,21.63095238095238,1817,,,,,,21.63095238095238,0.05,84,,,,,
0,,,33964,21.397727272727273,1883,,,,,,21.397727272727273,0.05,88,,,,,
0,,,34027,21.934782608695652,2018,,,,,,21.934782608695652,0.05,92,,,,,
